start evaluating
|                                    |   pred_acc |   val_acc |   epoch | backend    | classifier   |   dimensionality |   padding |   lstm_size | activation1   | activation2   | optimizer   | loss               |   batch_size |   dropout |   vsplit | embedding                  |   embedding2 |   rich |   runtime | argv                                                                                                                                                                                                                                                                         |
| ('2018-01-29_17-12-11-885760', 9)  |      0.690 |     0.707 |      12 | tensorflow | LSTM_05conc  |              300 |       250 |          96 | softplus      | sigmoid       | adam        | mean_squared_error |           64 |     0.800 |    0.200 | custom_embedding_sg_300_lc |          nan |      3 |  1282.905 | ['--system', 'hpc', '--classifier', 'LSTM_05conc', '--lstm_size', '96', '--padding', '250', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'mean_squared_error', '--embedding', 'ce_sg_300_lc', '--dropout', '0.8', '--vsplit', '0.2', '--batch_size', '64']  |
| ('2018-01-29_17-12-09-512678', 10) |      0.690 |     0.702 |      10 | tensorflow | LSTM_05conc  |              300 |       150 |          96 | softplus      | sigmoid       | adam        | logcosh            |           64 |     0.800 |    0.050 | custom_embedding_sg_300_lc |          nan |      3 |   765.006 | ['--system', 'hpc', '--classifier', 'LSTM_05conc', '--lstm_size', '96', '--padding', '150', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'logcosh', '--embedding', 'ce_sg_300_lc', '--dropout', '0.8', '--vsplit', '0.05', '--batch_size', '64']            |
| ('2018-01-29_17-12-09-666302', 2)  |      0.687 |     0.686 |      10 | tensorflow | LSTM_05conc  |              300 |       250 |          96 | softplus      | sigmoid       | adam        | mean_squared_error |           32 |     0.900 |    0.100 | custom_embedding_sg_300_lc |          nan |      3 |   922.965 | ['--system', 'hpc', '--classifier', 'LSTM_05conc', '--lstm_size', '96', '--padding', '250', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'mean_squared_error', '--embedding', 'ce_sg_300_lc', '--dropout', '0.9', '--vsplit', '0.1', '--batch_size', '32']  |
| ('2018-01-29_17-12-09-498794', 6)  |      0.687 |     0.744 |      15 | tensorflow | LSTM_05conc  |              300 |       250 |          96 | softplus      | sigmoid       | adam        | mean_squared_error |           32 |     0.900 |    0.050 | custom_embedding_sg_300_lc |          nan |      3 |  1368.306 | ['--system', 'hpc', '--classifier', 'LSTM_05conc', '--lstm_size', '96', '--padding', '250', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'mean_squared_error', '--embedding', 'ce_sg_300_lc', '--dropout', '0.9', '--vsplit', '0.05', '--batch_size', '32'] |
| ('2018-01-29_17-12-09-401218', 4)  |      0.687 |     0.686 |      18 | tensorflow | LSTM_05conc  |              300 |       250 |          96 | softplus      | sigmoid       | adam        | mean_squared_error |           64 |     0.900 |    0.400 | custom_embedding_sg_300_lc |          nan |      3 |  1522.132 | ['--system', 'hpc', '--classifier', 'LSTM_05conc', '--lstm_size', '96', '--padding', '250', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'mean_squared_error', '--embedding', 'ce_sg_300_lc', '--dropout', '0.9', '--vsplit', '0.4', '--batch_size', '64']  |
| ('2018-01-29_17-12-09-515034', 6)  |      0.687 |     0.727 |      11 | tensorflow | LSTM_05conc  |              300 |       250 |          96 | softplus      | sigmoid       | adam        | mean_squared_error |           64 |     0.800 |    0.050 | custom_embedding_sg_300_lc |          nan |      3 |  1228.578 | ['--system', 'hpc', '--classifier', 'LSTM_05conc', '--lstm_size', '96', '--padding', '250', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'mean_squared_error', '--embedding', 'ce_sg_300_lc', '--dropout', '0.8', '--vsplit', '0.05', '--batch_size', '64'] |
| ('2018-01-29_17-12-15-282500', 9)  |      0.687 |     0.694 |      11 | tensorflow | LSTM_05conc  |              300 |       150 |          96 | softplus      | sigmoid       | adam        | logcosh            |           64 |     0.800 |    0.100 | custom_embedding_sg_300_lc |          nan |      3 |   794.510 | ['--system', 'hpc', '--classifier', 'LSTM_05conc', '--lstm_size', '96', '--padding', '150', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'logcosh', '--embedding', 'ce_sg_300_lc', '--dropout', '0.8', '--vsplit', '0.1', '--batch_size', '64']             |
| ('2018-01-29_17-12-15-282216', 10) |      0.687 |     0.658 |      11 | tensorflow | LSTM_05conc  |              300 |       250 |          96 | softplus      | sigmoid       | adam        | mean_squared_error |           32 |     0.900 |    0.400 | custom_embedding_sg_300_lc |          nan |      3 |   827.371 | ['--system', 'hpc', '--classifier', 'LSTM_05conc', '--lstm_size', '96', '--padding', '250', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'mean_squared_error', '--embedding', 'ce_sg_300_lc', '--dropout', '0.9', '--vsplit', '0.4', '--batch_size', '32']  |
| ('2018-01-29_17-12-09-496712', 10) |      0.687 |     0.637 |      10 | tensorflow | LSTM_05conc  |              300 |       250 |          96 | softplus      | sigmoid       | adam        | mean_squared_error |           64 |     0.800 |    0.400 | custom_embedding_sg_300_lc |          nan |      3 |   923.206 | ['--system', 'hpc', '--classifier', 'LSTM_05conc', '--lstm_size', '96', '--padding', '250', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'mean_squared_error', '--embedding', 'ce_sg_300_lc', '--dropout', '0.8', '--vsplit', '0.4', '--batch_size', '64']  |
| ('2018-01-29_17-12-09-576863', 9)  |      0.687 |     0.653 |      12 | tensorflow | LSTM_05conc  |              300 |       150 |          96 | softplus      | sigmoid       | adam        | logcosh            |           32 |     0.800 |    0.100 | custom_embedding_sg_300_lc |          nan |      3 |   765.174 | ['--system', 'hpc', '--classifier', 'LSTM_05conc', '--lstm_size', '96', '--padding', '150', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'logcosh', '--embedding', 'ce_sg_300_lc', '--dropout', '0.8', '--vsplit', '0.1', '--batch_size', '32']             |
