/home/andreas/anaconda3/envs/default/bin/python /home/andreas/workspace/semeval/project/results_evaluator.py
start evaluating
|                                    |   pred_acc |   val_acc |   epoch | backend   | classifier   |   dimensionality |   padding |   lstm_size | activation1   | activation2   | optimizer   | loss                           |   batch_size |   dropout |   vsplit | embedding                                    |   embedding2 |   rich |   runtime | argv                                                                                                                      |
| ('2018-01-22_16-51-30-893930', 3)  |      0.680 |     0.665 |      15 | theano    | LSTM_05add   |              300 |        50 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |  1444.650 | ['--runs', '10', '--classifier', 'LSTM_05add', '--padding', '50', '--emb_dir', '../embeddings/']                          |
| ('2018-01-22_16-51-28-816656', 3)  |      0.680 |     0.694 |       9 | theano    | LSTM_05add   |              300 |       100 |          64 | elu           | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |  1578.943 | ['--runs', '10', '--classifier', 'LSTM_05add', '--activation1', 'elu', '--emb_dir', '../embeddings/']                     |
| ('2018-01-22_16-51-29-354140', 3)  |      0.677 |     0.686 |      13 | theano    | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     1.000 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |  2124.718 | ['--runs', '10', '--classifier', 'LSTM_05add', '--dropout', '1.0', '--emb_dir', '../embeddings/']                         |
| ('2018-01-22_16-51-30-024920', 1)  |      0.677 |     0.630 |      16 | theano    | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.650 | embeddings_cache_file_word2vec               |          nan |      3 |  3111.457 | ['--runs', '10', '--classifier', 'LSTM_05add', '--vsplit', '0.65', '--emb_dir', '../embeddings/']                         |
| ('2018-01-22_16-51-29-421955', 3)  |      0.677 |     0.694 |       9 | theano    | LSTM_05add   |              300 |       100 |          64 | elu           | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |  1558.557 | ['--runs', '10', '--classifier', 'LSTM_05add', '--activation1', 'elu', '--emb_dir', '../embeddings/']                     |
| ('2018-01-22_16-51-29-136875', 2)  |      0.674 |     0.698 |      10 | theano    | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           16 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |  2298.410 | ['--runs', '10', '--classifier', 'LSTM_05add', '--batch_size', '16', '--emb_dir', '../embeddings/']                       |
| ('2018-01-22_16-51-29-660948', 9)  |      0.674 |     0.640 |      13 | theano    | LSTM_05add   |              300 |        10 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   592.468 | ['--runs', '10', '--classifier', 'LSTM_05add', '--padding', '10', '--emb_dir', '../embeddings/']                          |
| ('2018-01-22_16-51-30-893383', 1)  |      0.674 |     0.686 |      16 | theano    | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           64 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |  3784.646 | ['--runs', '10', '--classifier', 'LSTM_05add', '--batch_size', '64', '--emb_dir', '../embeddings/']                       |
| ('2018-01-22_16-51-29-919689', 3)  |      0.674 |     0.688 |      10 | theano    | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.200 | embeddings_cache_file_word2vec               |          nan |      3 |  1620.877 | ['--runs', '10', '--classifier', 'LSTM_05add', '--vsplit', '0.2', '--emb_dir', '../embeddings/']                          |
| ('2018-01-22_16-51-29-919626', 1)  |      0.674 |     0.655 |      16 | theano    | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.350 | embeddings_cache_file_word2vec               |          nan |      3 |  3689.073 | ['--runs', '10', '--classifier', 'LSTM_05add', '--vsplit', '0.35', '--emb_dir', '../embeddings/']                         |
