/home/andreas/anaconda3/envs/default/bin/python /home/andreas/workspace/semeval/project/results_evaluator.py
start evaluating
|                                   |   pred_acc |   val_acc |   epoch | backend    | classifier     |   dimensionality |   padding |   lstm_size | activation1   | activation2   | optimizer   | loss                           |   batch_size |   dropout |   vsplit | embedding                                     |   embedding2 |   rich |   runtime | argv                                                                                                                                                                                                                                             |
| ('2018-01-07_01-51-55-304775', 2) |      0.690 |     0.702 |       9 | tensorflow | LSTM_01        |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |   209.831 | ['--dense_factor', '4']                                                                                                                                                                                                                          |
| ('2018-01-17_19-36-14-526964', 3) |      0.690 |     0.669 |       9 | tensorflow | LSTM_01        |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |   207.419 | []                                                                                                                                                                                                                                               |
| ('2018-01-06_22-52-49-547038', 2) |      0.690 |     0.636 |      12 | tensorflow | LSTM_01        |              300 |        47 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |   277.019 | ['--padding', '47']                                                                                                                                                                                                                              |
| ('2018-01-07_01-51-55-304775', 3) |      0.690 |     0.682 |      10 | tensorflow | LSTM_01        |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |   474.178 | ['--dense_factor', '4']                                                                                                                                                                                                                          |
| ('2018-01-09_20-06-55-833929', 3) |      0.687 |     0.649 |      12 | tensorflow | ATT_LSTM_03c   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |   984.051 | ['--patience', '5', '--classifier', 'ATT_LSTM_03c']                                                                                                                                                                                              |
| ('2018-01-09_23-45-49-605686', 3) |      0.687 |     0.669 |       8 | tensorflow | LSTM_01        |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |   203.089 | []                                                                                                                                                                                                                                               |
| ('2018-01-18_10-47-12-446741', 1) |      0.687 |     0.674 |      13 | tensorflow | LSTM_05conc    |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_dict2vec_prov_freq_lc   |          nan |      3 |   530.681 | ['--classifier', 'LSTM_05conc', '--embedding', 'd2v_pf_lc']                                                                                                                                                                                      |
| ('2018-01-08_13-21-09-763714', 2) |      0.687 |     0.665 |      10 | tensorflow | LSTM_02c       |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |   448.267 | ['--classifier', 'LSTM_02c']                                                                                                                                                                                                                     |
| ('2018-01-17_23-20-44-392138', 2) |      0.687 |     0.702 |       9 | tensorflow | LSTM_01        |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |   216.265 | []                                                                                                                                                                                                                                               |
| ('2018-01-21_20-31-20-043708', 1) |      0.687 |     0.698 |       9 | tensorflow | LSTM_01        |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |   215.979 | ['--epochs', '10']                                                                                                                                                                                                                               |
| ('2018-01-07_02-28-09-019236', 4) |      0.684 |     0.711 |       8 | tensorflow | LSTM_01        |              300 |       175 |          64 | selu          | sigmoid       | adagrad     | mean_squared_error             |           32 |     0.600 |    0.050 | embeddings_cache_file_fastText                |          nan |      3 |   556.502 | ['--runs', '5', '--epochs', '40', '--embedding', 'ftx', '--lstm', '64', '--loss', 'mean_squared_error', '--padding', '175', '--batch', '32', '--optimizer', 'adagrad', '--vsplit', '0.05', '--activation1', 'selu', '--dropout', '0.6']          |
| ('2018-01-06_22-52-32-049368', 2) |      0.684 |     0.686 |       9 | tensorflow | LSTM_01        |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |   376.183 | []                                                                                                                                                                                                                                               |
| ('2018-01-08_17-18-00-247898', 3) |      0.684 |     0.674 |      10 | tensorflow | LSTM_05conc    |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |  1179.957 | ['--classifier', 'LSTM_05conc']                                                                                                                                                                                                                  |
| ('2018-01-25_01-07-17-357308', 2) |      0.684 |     0.674 |       8 | tensorflow | LSTM_01        |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | custom_embedding_w2v_hs_iter05_sg_300_lc_wiki |          nan |      3 |   261.132 | ['--embedding', 'ce_wiki_lc']                                                                                                                                                                                                                    |
| ('2018-01-07_23-15-20-535131', 1) |      0.680 |     0.694 |      11 | tensorflow | LSTM_03        |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |   563.601 | ['--classifier', 'LSTM_03']                                                                                                                                                                                                                      |
| ('2018-01-21_19-11-02-857319', 1) |      0.680 |     0.682 |      13 | tensorflow | LSTM_05conc    |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_dict2vec_prov_freq_lc   |          nan |      3 |   537.413 | ['--classifier', 'LSTM_05conc', '--embedding', 'd2v_pf_lc']                                                                                                                                                                                      |
| ('2018-01-21_21-22-47-120442', 2) |      0.680 |     0.657 |       8 | tensorflow | LSTM_01        |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |   188.881 | ['--epochs', '10']                                                                                                                                                                                                                               |
